feature,target,n,pearson_r,pearson_p,granger_p_min,pearson_p_bh,granger_p_bh
cell_anger_disgust__fiscal_taxes,^IXIC__fwd_1w,443,-0.13067342969529508,0.005879870329081611,0.016984871406287884,0.9996843425323255,0.1212368407276411
share_excitement_euphoria,ETH-USD__fwd_1w,444,0.12348738691001514,0.009195961314125157,0.27326996104709644,0.9996843425323255,0.4561810445722551
cell_anger_disgust__fiscal_taxes,QQQ__fwd_1w,443,-0.12049293792479313,0.01114334030440739,0.0152840783169304,0.9996843425323255,0.11166367805663269
cell_anger_disgust__fiscal_taxes,^GSPC__fwd_1w,443,-0.11940092209995928,0.011903190409789054,0.008058261729422955,0.9996843425323255,0.07943143704716912
share_surprise,SPY__fwd_1w,443,0.1166301946163585,0.014040178409603683,0.4592780561210001,0.9996843425323255,0.5832549547058099
share_surprise,^GSPC__fwd_1w,443,0.1165880724655746,0.0140751161220225,0.4717171376496685,0.9996843425323255,0.5901170634246797
cell_anger_disgust__fiscal_taxes,SPY__fwd_1w,443,-0.11628867354693717,0.014325659834307308,0.007874801473988545,0.9996843425323255,0.07887502766688527
share_fear_anxiety,BTC-USD__fwd_1w,444,0.11160771992736412,0.018650446762330783,0.017550280695524324,0.9996843425323255,0.1238491399081887
cell_fear_anxiety__inflation,BTC-USD__fwd_1w,444,-0.11082969584851976,0.019494168521424673,0.6104011619599337,0.9996843425323255,0.6912094855242604
share_anger_disgust,ETH-USD__fwd_1w,444,-0.10905970551550953,0.021538350783849986,0.39507369692676364,0.9996843425323255,0.5400292270363912
emo_pessimism_despair,^GSPC__fwd_1w,443,-0.107793020733229,0.023269219658234162,0.10544401736672603,0.9996843425323255,0.32098399404282774
share_anger_disgust,BTC-USD__fwd_1w,444,-0.10646631998134913,0.024868437117556028,0.3834176616840081,0.9996843425323255,0.5386931400583009
emo_fear_anxiety,GC=F__fwd_1w,443,0.10483496669711637,0.02735813720121068,0.01651402509429916,0.9996843425323255,0.11924662306464859
emo_pessimism_despair,SPY__fwd_1w,443,-0.10455975075775117,0.027768230230727987,0.0968394959091126,0.9996843425323255,0.31457401712279465
net_valence_mean,ETH-USD__fwd_1w,444,0.10296411735009262,0.030064399277541762,0.534718320047251,0.9996843425323255,0.6324733343040179
net_valence_mean,BTC-USD__fwd_1w,444,0.09661189048109321,0.04187481619881865,0.47202423997658755,0.9996843425323255,0.5901170634246797
net_valence,^GSPC__fwd_1w,443,0.09664950352671986,0.04202712762396385,0.05625214163506437,0.9996843425323255,0.2442837759117131
emo_anger_disgust,^GSPC__fwd_1w,443,-0.09640967779373105,0.04254162930422937,0.0402204449538219,0.9996843425323255,0.2042194069242493
share_surprise,^IXIC__fwd_1w,443,0.09628215049386152,0.04281737071761429,0.47572444494926935,0.9996843425323255,0.5932226512319202
net_valence,ETH-USD__fwd_1w,444,0.09512395381135862,0.04514720460319967,0.5315274969148165,0.9996843425323255,0.6323559998366477
emo_fear_anxiety,GLD__fwd_1w,443,0.09521400126760152,0.04518660312473654,0.005369422269767143,0.9996843425323255,0.06633977351210485
share_excitement_euphoria,BTC-USD__fwd_1w,444,0.09397834308580583,0.04781081097299619,0.23089132982667082,0.9996843425323255,0.4193190840100065
emo_anger_disgust,SPY__fwd_1w,443,-0.09393830604475661,0.04815956893858334,0.03789269109111584,0.9996843425323255,0.20234421428498178
net_valence,SPY__fwd_1w,443,0.0938799497993594,0.04829939381032644,0.05362991778368024,0.9996843425323255,0.2361998506642938
