feature,target,n,pearson_r,pearson_p,granger_p_min,pearson_p_bh,granger_p_bh
emo_pessimism_despair,^IXIC__fwd_3m,329,0.4108045798475858,7.937066882525947e-15,0.33226480559698574,4.928918534048613e-12,0.5001307974827197
emo_pessimism_despair,QQQ__fwd_3m,329,0.4014787966797434,3.576479104306761e-14,0.3602758942223619,1.1104967618872492e-11,0.5251909162255557
emo_pessimism_despair,SPY__fwd_3m,329,0.3741216686566343,2.273921100073833e-12,0.41525191398987826,4.3834373534479654e-10,0.5597242506034488
emo_pessimism_despair,^GSPC__fwd_3m,329,0.37262306439475057,2.8234701149423287e-12,0.4434804841430199,4.3834373534479654e-10,0.5735472876726965
emo_fear_anxiety,^IXIC__fwd_3m,329,0.3688344730763073,4.856126351130079e-12,0.3158094852577994,6.031308928103558e-10,0.49152303344634946
emo_fear_anxiety,QQQ__fwd_3m,329,0.3575084530391803,2.35608600541894e-11,0.22140743450551012,2.1318979030175725e-09,0.41079746389035715
net_valence,^IXIC__fwd_3m,329,-0.3573638792693255,2.4031055267508867e-11,0.34203637896934963,2.1318979030175725e-09,0.5081449553587706
net_valence,QQQ__fwd_3m,329,-0.35490460316811795,3.3580642819461736e-11,0.3039155773975578,2.6066973988607172e-09,0.48145809582623317
cell_optimism_confidence__growth_gdp,^IXIC__fwd_3m,329,0.3494375283727487,6.993166903913247e-11,0.046525975714171657,4.82528516370014e-09,0.220554434492371
emo_excitement_euphoria,QQQ__fwd_3m,329,0.346087509273696,1.0886242819441378e-10,0.014164755900638523,6.760356790873096e-09,0.14687901151430865
cell_optimism_confidence__growth_gdp,QQQ__fwd_3m,329,0.34176833409452967,1.9113577188766382e-10,0.05509251298497584,1.079048312202175e-08,0.22869711767284615
cell_optimism_confidence__growth_gdp,GLD__fwd_3m,329,0.3398811885012485,2.4376977550391533e-10,0.14998142041483128,1.2213751383652646e-08,0.353953717623069
cell_anger_disgust__fiscal_taxes,ETH-USD__fwd_3m,329,0.339509527372171,2.5568239611511175e-10,0.021512932686289156,1.2213751383652646e-08,0.15534338602541356
emo_excitement_euphoria,^IXIC__fwd_3m,329,0.33754323500167394,3.287525729431117e-10,0.008307435440418388,1.4582524842690884e-08,0.13224500077974471
cell_optimism_confidence__growth_gdp,GC=F__fwd_3m,329,0.33675613918074554,3.633738617287708e-10,0.2182039095510704,1.504367787557111e-08,0.41079746389035715
emo_fear_anxiety,SPY__fwd_3m,329,0.3339551759980017,5.177323187224011e-10,0.1097512216886651,2.009448562041319e-08,0.32850289571948144
emo_fear_anxiety,^GSPC__fwd_3m,329,0.3311439027864762,7.359898905838716e-10,0.1260745196610578,2.6885277767799074e-08,0.3334818847532009
net_valence,ETH-USD__fwd_3m,329,-0.32711988511655704,1.2101945382532575e-09,0.09467244859020678,4.175171156973738e-08,0.3014953362795816
emo_anger_disgust,ETH-USD__fwd_3m,329,0.32660866212778317,1.2884550349022322e-09,0.1338969484209546,4.211213561443612e-08,0.33484536013466865
emo_excitement_euphoria,SPY__fwd_3m,329,0.3230368281813102,1.9897672348919496e-09,0.01638357637214301,6.178227264339504e-08,0.14687901151430865
