feature,target,n,pearson_r,pearson_p,granger_p_min,pearson_p_bh,granger_p_bh
cell_anger_disgust__fiscal_taxes,^GSPC__fwd_1w,443,-0.14398804441483148,0.0023824855945124563,0.03252488014675896,0.838749992653179,0.20401970273876074
cell_anger_disgust__fiscal_taxes,SPY__fwd_1w,443,-0.14220311219794096,0.002701288221105246,0.028932141335586213,0.838749992653179,0.1949136806644528
emo_pessimism_despair,^GSPC__fwd_1w,443,-0.12091965818591836,0.010858289639773974,0.23447578389340287,0.9992476446617728,0.465171729863045
emo_pessimism_despair,SPY__fwd_1w,443,-0.11857225562557369,0.012509991891365368,0.22760181660334172,0.9992476446617728,0.46502885927624094
cell_anger_disgust__fiscal_taxes,^IXIC__fwd_1w,443,-0.10959748102233755,0.02104385305001514,0.10363906841585632,0.9992476446617728,0.3615722555407122
cell_fear_anxiety__inflation,ETH-USD__fwd_1w,444,-0.10542960453608459,0.02631903597100133,0.32009373612432035,0.9992476446617728,0.5159737996470739
emo_excitement_euphoria,ETH-USD__fwd_1w,444,0.09901533033117547,0.037012280385921054,0.30854358605304505,0.9992476446617728,0.5136878470212894
emo_pessimism_despair,GC=F__fwd_1m,440,0.09743212315248408,0.04107201857709954,0.0056145045477063145,0.9992476446617728,0.0949714427459045
net_valence,^GSPC__fwd_1w,443,0.09163529294372566,0.05394135696825911,0.5606376112801598,0.9992476446617728,0.6965444925677443
emo_surprise,GC=F__fwd_1w,443,0.09141064206677717,0.05453503598375744,0.12062294554661121,0.9992476446617728,0.38565298560650874
emo_fear_anxiety,^GSPC__fwd_1w,443,-0.09111476294354072,0.055325226622656716,0.09853820900396848,0.9992476446617728,0.35485601186962545
net_valence,SPY__fwd_1w,443,0.0893186689702947,0.06032853594843015,0.5440846706268994,0.9992476446617728,0.6867410171937084
net_valence,GC=F__fwd_1m,440,-0.08789910876437987,0.06545917126794391,0.02525127879169118,0.9992476446617728,0.1771062137100941
emo_fear_anxiety,SPY__fwd_1w,443,-0.08739156708710565,0.06610660881500528,0.10220375586061126,0.9992476446617728,0.35857927903638187
cell_anger_disgust__fiscal_taxes,QQQ__fwd_1w,443,-0.08324478554140755,0.0800857817796789,0.11673731827170906,0.9992476446617728,0.38565298560650874
cell_fear_anxiety__inflation,BTC-USD__fwd_1w,444,-0.08172112669397544,0.0854334156978319,0.7215972928878246,0.9992476446617728,0.7861612611988406
emo_surprise,ETH-USD__fwd_1w,444,0.0811525171032541,0.08763870416718607,0.524724313467757,0.9992476446617728,0.6704810672088006
emo_fear_anxiety,GC=F__fwd_1m,440,0.07966114211155689,0.0951399859467412,0.0652728089240627,0.9992476446617728,0.27976534535183484
emo_pessimism_despair,^IXIC__fwd_1w,443,-0.07819612896337552,0.10023700728047198,0.3859744702060143,0.9992476446617728,0.5707541692032901
emo_fear_anxiety,GC=F__fwd_1w,443,0.07687167192160928,0.10614149197498633,0.0007907187607495824,0.9992476446617728,0.03459750373960354
cell_optimism_confidence__corporate_earnings,^GSPC__fwd_1w,443,0.07618211439461059,0.10932257513269046,0.5616027589894558,0.9992476446617728,0.6965444925677443
