feature,target,n,pearson_r,pearson_p,granger_p_min,pearson_p_bh,granger_p_bh
emo_optimism_confidence,^IXIC__fwd_3m,432,0.3507790275677668,5.929938016536202e-14,0.009901658658568369,3.682491508268981e-11,0.10080213158968782
emo_optimism_confidence,QQQ__fwd_3m,432,0.34610111585787606,1.333928513740206e-13,0.01427692044036683,4.14184803516334e-11,0.11366625119830515
emo_confusion_uncertainty,^IXIC__fwd_3m,432,0.34362568718092945,2.0374198773587096e-13,0.04482177890441215,4.217459146132529e-11,0.18433327615655593
emo_pessimism_despair,^IXIC__fwd_3m,432,0.3386117816657861,4.749990417439703e-13,0.04035159397226485,7.374360123075139e-11,0.17867880109125153
emo_confusion_uncertainty,GC=F__fwd_3m,432,0.3348427385666355,8.885663903514164e-13,0.5890388991149524,1.1035994568164593e-10,0.6697530130418291
emo_excitement_euphoria,QQQ__fwd_3m,432,0.3336639098172709,1.078950900817263e-12,4.085953970850998e-05,1.1167141823458672e-10,0.01268688707949235
emo_confusion_uncertainty,QQQ__fwd_3m,432,0.3322547061348289,1.3593068069500712e-12,0.0748517586632312,1.2058993244514203e-10,0.21033005488627407
emo_excitement_euphoria,^IXIC__fwd_3m,432,0.33050033277753643,1.809203428329546e-12,1.1823384699935963e-05,1.3297399847440747e-10,0.007342321898660233
emo_confusion_uncertainty,GLD__fwd_3m,432,0.33011125744183545,1.9271593981798182e-12,0.6489053896657362,1.3297399847440747e-10,0.7195897267543253
emo_pessimism_despair,GC=F__fwd_3m,432,0.3286340804799886,2.4474049704691076e-12,0.2767467501901504,1.519838486661316e-10,0.414119835826707
emo_optimism_confidence,^GSPC__fwd_3m,432,0.32685748551006005,3.2567945152497084e-12,0.04346870894262175,1.83860853997279e-10,0.18116824331119535
emo_pessimism_despair,GLD__fwd_3m,432,0.32506581175494276,4.3362203462028925e-12,0.2897605554720298,2.0232947233936534e-10,0.42539315590574583
emo_pessimism_despair,QQQ__fwd_3m,432,0.32489823202992507,4.453460094680626e-12,0.06489454250983052,2.0232947233936534e-10,0.20122311347710878
emo_optimism_confidence,SPY__fwd_3m,432,0.32474775006188616,4.561372967393099e-12,0.047847089047343506,2.0232947233936534e-10,0.18812257681763395
emo_confusion_uncertainty,^GSPC__fwd_3m,432,0.32401369215419246,5.1254861146245916e-12,0.1297945644110777,2.121951251454581e-10,0.2769842766298256
emo_confusion_uncertainty,SPY__fwd_3m,432,0.3219216738938877,7.133528735541616e-12,0.14430121077342495,2.767980609777594e-10,0.2907034961217345
emo_anger_disgust,GC=F__fwd_3m,432,0.32153791659448905,7.577402635462013e-12,0.4295218262316297,2.767980609777594e-10,0.5368271074126563
emo_fear_anxiety,^IXIC__fwd_3m,432,0.31835221042903006,1.2465651836279712e-11,0.05970669294332649,4.3006498835165006e-10,0.19874655926109366
emo_anger_disgust,GLD__fwd_3m,432,0.3153557773496364,1.9803439802492548e-11,0.33983292372888413,5.991910819957421e-10,0.4655269675316122
net_valence,GC=F__fwd_3m,432,-0.3152686451590978,2.0070242618591746e-11,0.41867374355076437,5.991910819957421e-10,0.5273760542495429
emo_surprise,^IXIC__fwd_3m,432,0.3152065556022303,2.0262500357343936e-11,0.046205581183818706,5.991910819957421e-10,0.1871651821733734
emo_surprise,GC=F__fwd_3m,432,0.31295142685568367,2.8603883889243905e-11,0.5016495123559211,8.074096316009303e-10,0.6044924649355204
emo_optimism_confidence,GC=F__fwd_3m,432,0.31229885699600735,3.158766641072549e-11,0.7323587834666146,8.42992996018388e-10,0.78009400434437
emo_pessimism_despair,^GSPC__fwd_3m,432,0.31209521281989244,3.2579439459647844e-11,0.09770252110599899,8.42992996018388e-10,0.2280949834843059
emo_surprise,QQQ__fwd_3m,432,0.3114247102040812,3.606422910353852e-11,0.06832243153085713,8.958354509318969e-10,0.20254480351034893
net_valence,GLD__fwd_3m,432,-0.3096195469972468,4.7352386738988785e-11,0.33477871917483715,1.1309935448043091e-09,0.4630235737362447
emo_pessimism_despair,SPY__fwd_3m,432,0.3085213025039435,5.583420613296176e-11,0.10965886839192517,1.2701503460051568e-09,0.24762966280503826
emo_optimism_confidence,GLD__fwd_3m,432,0.30835174850910657,5.726925875707631e-11,0.8127375012592497,1.2701503460051568e-09,0.83978367434608
emo_surprise,GLD__fwd_3m,432,0.30767853804133893,6.33302757097654e-11,0.5286602962475616,1.3561414212332522e-09,0.6313423922494918
emo_excitement_euphoria,^GSPC__fwd_3m,432,0.3069731844845086,7.035061596450417e-11,7.702324048689046e-05,1.4562577504652364e-09,0.015943810780786327
emo_excitement_euphoria,SPY__fwd_3m,432,0.3058620773563996,8.297381664142367e-11,0.000104393287980679,1.6621529075588418e-09,0.016207057959000414
cell_optimism_confidence__growth_gdp,GC=F__fwd_3m,432,0.30530482520652236,9.011011153357078e-11,0.13814035726978507,1.7116307010352213e-09,0.28515287711295595
emo_fear_anxiety,QQQ__fwd_3m,432,0.305241628636999,9.095622082795862e-11,0.08332834996943075,1.7116307010352213e-09,0.21730741322707525
cell_optimism_confidence__growth_gdp,GLD__fwd_3m,432,0.30396125499399107,1.0986419663643353e-10,0.15797477111347938,2.0066372385654477e-09,0.30278497796750214
net_valence,^IXIC__fwd_3m,432,-0.30225963956414437,1.4100937773281487e-10,0.029774958366609195,2.5019092449165155e-09,0.15862699855892146
emo_anger_disgust,^IXIC__fwd_3m,432,0.3011088329298192,1.667842903849233e-10,0.022537948659126117,2.877029009139927e-09,0.1397233594063824
emo_surprise,^GSPC__fwd_3m,432,0.29623078397497715,3.370100016023983e-10,0.06559138007855601,5.65630299986728e-09,0.20122311347710878
emo_surprise,SPY__fwd_3m,432,0.293343052237053,5.079190735360545e-10,0.06642630960194412,8.300466964891837e-09,0.20122311347710878
net_valence,QQQ__fwd_3m,432,-0.2894543588145746,8.761100927930112e-10,0.0444409200888505,1.377674112017564e-08,0.18398540916784106
emo_anger_disgust,QQQ__fwd_3m,432,0.28936238866795705,8.873907323784631e-10,0.033131814806775524,1.377674112017564e-08,0.16518289298362202
emo_fear_anxiety,^GSPC__fwd_3m,432,0.2869861232172709,1.2330473695224776e-09,0.1831191127019038,1.8676156499352648e-08,0.33346518726937935
emo_fear_anxiety,SPY__fwd_3m,432,0.2843338422285729,1.773654251168684e-09,0.17452562034979885,2.6224744999422687e-08,0.32641946828713386
emo_fear_anxiety,GC=F__fwd_3m,432,0.2820103627166349,2.431252603280357e-09,0.7458715272011128,3.511181085202562e-08,0.786394258729866
share_confusion_uncertainty,GC=F__fwd_3m,432,-0.27822588446392416,4.0384859067322325e-09,0.905384490139242,5.651125579040617e-08,0.9137245908386151
emo_fear_anxiety,GLD__fwd_3m,432,0.2781214030167122,4.095018535536679e-09,0.7114138335315756,5.651125579040617e-08,0.7696654888904328
share_confusion_uncertainty,GLD__fwd_3m,432,-0.27409027359717375,6.970487699696121e-09,0.9063677100750192,9.410158394589764e-08,0.9137245908386151
net_valence,^GSPC__fwd_3m,432,-0.2725410720582642,8.531916622138293e-09,0.0673448122582293,1.127302174967634e-07,0.2020344367746879
emo_anger_disgust,^GSPC__fwd_3m,432,0.2712360815200341,1.0105675395718722e-08,0.0507297353255014,1.3074217543211097e-07,0.19422171022722498
net_valence,SPY__fwd_3m,432,-0.2687696557201876,1.388203124436622e-08,0.06849341181509384,1.7593349801533516e-07,0.20254480351034893
emo_anger_disgust,SPY__fwd_3m,432,0.2674714158367205,1.6386106641766903e-08,0.05208899290026104,2.0351544449074495e-07,0.1948630397051934
emo_excitement_euphoria,GC=F__fwd_3m,432,0.26564881275239005,2.0651107419950698e-08,0.8377554710242409,2.5145760211351733e-07,0.857077672991851
cell_fear_anxiety__markets_themselves,QQQ__fwd_3m,432,0.2650768345263411,2.219818716479723e-08,0.3219588024760288,2.6509758133344386e-07,0.45234483334301784
cell_fear_anxiety__markets_themselves,^IXIC__fwd_3m,432,0.26284587598631554,2.9375423754369577e-08,0.2489088274571786,3.441912858766699e-07,0.3823094021384586
net_valence_mean,GC=F__fwd_3m,432,-0.26210755133447095,3.2210846525876845e-08,0.7302785499525046,3.6947119571329167e-07,0.7800099544021654
emo_excitement_euphoria,GLD__fwd_3m,432,0.2619809514875856,3.272289172984065e-08,0.636220861561266,3.6947119571329167e-07,0.7105991996934284
mean_intensity,GC=F__fwd_3m,432,0.2611299844989699,3.637464875331483e-08,0.8645826439770941,4.0336887278229483e-07,0.8801734785406155
cell_optimism_confidence__corporate_earnings,GLD__fwd_3m,432,0.25977934211039444,4.2992418924277746e-08,0.7175768475550665,4.6839109038555226e-07,0.7738881489368289
net_valence_mean,GLD__fwd_3m,432,-0.257721615495077,5.5361004778498595e-08,0.6612167343498935,5.872008132680669e-07,0.7293349769649802
cell_optimism_confidence__corporate_earnings,GC=F__fwd_3m,432,0.25765869131234864,5.578880512530749e-08,0.4508412190413612,5.872008132680669e-07,0.5544007861874957
mean_intensity,GLD__fwd_3m,432,0.25705693316794964,6.004450315037374e-08,0.7706842860268911,6.214606076063682e-07,0.807074100544181
cell_fear_anxiety__monetary_policy,^IXIC__fwd_3m,432,0.25560576370656457,7.163630574434152e-08,0.11377915359867947,7.292810797907555e-07,0.2536336938136449
cell_fear_anxiety__monetary_policy,^GSPC__fwd_3m,432,0.2550030092488508,7.706139430717489e-08,0.19939948165190394,7.718568687863807e-07,0.3460163557707377
cell_fear_anxiety__monetary_policy,SPY__fwd_3m,432,0.2539179054919646,8.784316010486865e-08,0.19948051479988319,8.658825781765623e-07,0.3460163557707377
cell_fear_anxiety__markets_themselves,SPY__fwd_3m,432,0.25343428544059404,9.310452077288432e-08,0.3960499951394666,9.034048031243932e-07,0.5124199282572867
cell_fear_anxiety__markets_themselves,^GSPC__fwd_3m,432,0.2532768270816565,9.488219732287627e-08,0.3662320313611288,9.064899159616332e-07,0.4818434141425021
cell_anger_disgust__fiscal_taxes,GC=F__fwd_3m,432,0.24962064095739572,1.466809087481095e-07,0.34328757497399875,1.3801340050390304e-06,0.46772262080556587
cell_anger_disgust__fiscal_taxes,^IXIC__fwd_3m,432,0.24391593518495985,2.8556120364913666e-07,0.00529761419167455,2.6271063413526078e-06,0.0872761925669314
cell_anger_disgust__fiscal_taxes,GLD__fwd_3m,432,0.24385213106023004,2.8767025960060763e-07,0.4132924891130195,2.6271063413526078e-06,0.5259316306130842
cell_anger_disgust__fiscal_taxes,QQQ__fwd_3m,432,0.23664890022336668,6.5164299463577e-07,0.006766505469211316,5.864786951721931e-06,0.08940425311447292
cell_fear_anxiety__monetary_policy,QQQ__fwd_3m,432,0.23630796284644778,6.769243573930539e-07,0.16255413770051522,5.986305607278271e-06,0.30965067334975444
share_confusion_uncertainty,^IXIC__fwd_3m,432,-0.23620916647948723,6.844246346485624e-07,0.0680725363666764,5.986305607278271e-06,0.20254480351034893
emo_confusion_uncertainty,GC=F__fwd_1m,441,0.2336218202261665,7.014983473569475e-07,0.004977187635167172,6.050423245953673e-06,0.0872761925669314
emo_confusion_uncertainty,GLD__fwd_1m,441,0.23155815105594907,8.837985009131421e-07,0.004477433040404225,7.518340672151525e-06,0.0872761925669314
share_confusion_uncertainty,QQQ__fwd_3m,432,-0.23082709376399788,1.2384049879494404e-06,0.04198784681508662,1.0392560777251385e-05,0.17867880109125153
emo_anger_disgust,GC=F__fwd_1m,441,0.22701492039043714,1.4586863404537425e-06,0.006043279034425201,1.2077922898956989e-05,0.0872761925669314
emo_anger_disgust,GLD__fwd_1m,441,0.2268856338446633,1.4794114153461294e-06,0.005471076826675527,1.2088348538551925e-05,0.0872761925669314
cell_anger_disgust__fiscal_taxes,^GSPC__fwd_3m,432,0.2284037625014229,1.6099202742997684e-06,0.04616470771564026,1.2983902471950082e-05,0.1871651821733734
cell_anger_disgust__fiscal_taxes,SPY__fwd_3m,432,0.2263461571861926,2.007115590095724e-06,0.052778058411091615,1.597972796730057e-05,0.19584092842662593
net_valence,GLD__fwd_1m,441,-0.2235289875048018,2.1276628358784464e-06,0.009876024799547554,1.6725045836462216e-05,0.10080213158968782
net_valence,GC=F__fwd_1m,441,-0.2231419028546648,2.2179195338912155e-06,0.010372817611627339,1.721660038183056e-05,0.10208599064678285
emo_pessimism_despair,GLD__fwd_1m,441,0.2213982685926414,2.671913177996706e-06,0.03413919184308012,2.0484667697974746e-05,0.16518289298362202
emo_pessimism_despair,GC=F__fwd_1m,441,0.2198186206480464,3.1588610687563693e-06,0.0216787368908169,2.392259419143543e-05,0.13878861452780716
emo_excitement_euphoria,GC=F__fwd_1m,441,0.21890154229264,3.4793435660847445e-06,0.02826834540446413,2.603219704263405e-05,0.15862610702637336
emo_fear_anxiety,GLD__fwd_1m,441,0.21707283706580455,4.213532349402238e-06,0.059457543713998334,3.115004272593798e-05,0.19874655926109366
emo_fear_anxiety,GC=F__fwd_1m,441,0.215841977036213,4.788633477847314e-06,0.04888605936897553,3.498519282050802e-05,0.1897390179258363
emo_excitement_euphoria,GLD__fwd_1m,441,0.21289465965153,6.4857235068681325e-06,0.019395496627966222,4.6832956950757095e-05,0.12861467015655323
emo_optimism_confidence,GC=F__fwd_1m,441,0.2098754086671008,8.810868297716124e-06,0.014180511695352721,6.279990827883634e-05,0.11366625119830515
emo_optimism_confidence,GLD__fwd_1m,441,0.209776388815735,8.899181849496938e-06,0.01966815133743206,6.279990827883634e-05,0.12861467015655323
share_optimism_confidence,GC=F__fwd_3m,432,-0.21011703049755787,1.06369162282102e-05,0.5437490000528363,7.421938177211837e-05,0.6378283584040826
