date,n_pairs,net_valence,net_valence_mean,mean_intensity,emo_optimism_confidence,share_optimism_confidence,emo_excitement_euphoria,share_excitement_euphoria,emo_fear_anxiety,share_fear_anxiety,emo_pessimism_despair,share_pessimism_despair,emo_anger_disgust,share_anger_disgust,emo_confusion_uncertainty,share_confusion_uncertainty,emo_surprise,share_surprise,cell_fear_anxiety__inflation,cell_fear_anxiety__monetary_policy,cell_optimism_confidence__growth_gdp,cell_fear_anxiety__markets_themselves,cell_anger_disgust__fiscal_taxes,cell_optimism_confidence__corporate_earnings
2018-01-05,3762,-781.93,-0.207849548112706,0.4981738437001595,646,0.1717171717171717,338,0.08984582668793195,236,0.06273258904837853,382,0.10154173312068049,1734,0.4609250398724083,307,0.08160552897395003,117,0.03110047846889952,0.5,3.0,3.75,31.76,58.62,47.13
2018-01-12,5735,-1363.05,-0.2376721883173496,0.4975448997384481,998,0.17401918047079337,281,0.04899738448125545,423,0.07375762859633828,778,0.13565823888404532,2515,0.4385353095030514,574,0.10008718395815171,165,0.02877070619006103,3.25,6.0,5.25,59.76,134.25,58.0
2018-01-19,5775,-1210.58,-0.2096242424242424,0.5008536796536797,1071,0.18545454545454546,397,0.06874458874458875,397,0.06874458874458875,632,0.10943722943722944,2554,0.44225108225108223,509,0.08813852813852814,215,0.03722943722943723,1.5,9.01,2.25,65.51,314.62,46.5
2018-01-26,5987,-1255.1,-0.20963754802071152,0.49255386671120766,1088,0.18172707532988142,388,0.06480708201102388,468,0.07816936696175046,792,0.13228662101219307,2484,0.41489894772006014,596,0.09954902288291298,170,0.02839485552029397,1.0,9.5,7.88,86.77,150.0,70.13
2018-02-02,5867,-1273.89,-0.21712800409067667,0.49388102948696094,1083,0.1845917845576956,337,0.057439918186466675,374,0.0637463780467019,761,0.12970853928754048,2568,0.43770240327254134,574,0.09783535026418953,168,0.02863473666268962,2.88,8.0,8.75,70.14,293.49,104.63
2018-02-09,7394,-1373.17,-0.18571409250743848,0.4892818501487693,1515,0.2048958615093319,440,0.0595077089532053,587,0.07938869353529888,1029,0.13916689207465513,2856,0.3862591290235326,751,0.10156883959967541,216,0.029212875304300785,2.75,11.5,11.0,179.31,109.5,66.38
2018-02-16,4609,-912.97,-0.19808418311998266,0.4865871121718377,896,0.19440225645476242,284,0.06161857235842916,382,0.0828813191581688,549,0.11911477543935778,1894,0.4109351269255804,459,0.09958776307224995,145,0.03146018659145151,9.75,10.0,9.0,68.01,218.75,56.88
2018-02-23,4900,-1024.01,-0.20898163265306122,0.4879040816326531,907,0.18510204081632653,303,0.06183673469387755,375,0.07653061224489796,742,0.15142857142857144,1949,0.3977551020408163,458,0.09346938775510204,166,0.03387755102040816,1.25,6.5,3.75,61.14,92.51,58.25
2018-03-02,4597,-1126.31,-0.2450097889928214,0.4938525125081574,819,0.1781596693495758,215,0.04676963236893626,364,0.07918207526647814,627,0.13639329997824667,2039,0.44355014139656296,393,0.08549053730693931,140,0.03045464433326082,2.0,8.75,2.5,51.88,111.25,71.5
2018-03-09,6402,-1796.62,-0.2806341768197438,0.5045001562011872,943,0.14729771946266793,273,0.042642924086223055,445,0.06950952827241487,860,0.13433302093095909,3131,0.48906591690096846,568,0.0887222742892846,181,0.028272414870353015,2.0,7.13,8.0,54.13,138.0,55.5
2018-03-16,4927,-1244.59,-0.25260604830525674,0.4964522021514106,776,0.15749949259184087,264,0.053582301603409786,345,0.07002232595900142,622,0.12624314998985184,2341,0.4751370002029633,423,0.08585346052364522,155,0.03145930586563832,0.0,10.0,4.75,62.27,153.5,82.38
2018-03-23,4882,-1333.34,-0.27311347808275294,0.49996108152396557,759,0.15546907005325686,203,0.04158131913150348,345,0.07066775911511676,676,0.1384678410487505,2321,0.47541990987300287,442,0.0905366653011061,136,0.027857435477263416,1.5,10.25,0.75,46.38,251.5,64.0
