date,n_pairs,net_valence,net_valence_mean,mean_intensity,emo_optimism_confidence,share_optimism_confidence,emo_excitement_euphoria,share_excitement_euphoria,emo_fear_anxiety,share_fear_anxiety,emo_pessimism_despair,share_pessimism_despair,emo_anger_disgust,share_anger_disgust,emo_confusion_uncertainty,share_confusion_uncertainty,emo_surprise,share_surprise,cell_fear_anxiety__inflation,cell_fear_anxiety__monetary_policy,cell_optimism_confidence__growth_gdp,cell_fear_anxiety__markets_themselves,cell_anger_disgust__fiscal_taxes,cell_optimism_confidence__corporate_earnings
2018-01-05,2681,-282.32,-0.10530399104811637,0.48088772845953004,597,0.2226781051846326,331,0.12346139500186498,198,0.07385303991048116,277,0.10331965684446102,947,0.35322640805669525,240,0.08951883625512869,89,0.03319656844461022,0.0,3.0,3.25,29.76,16.5,46.38
2018-01-12,4082,-646.41,-0.1583561979421852,0.4838339049485546,882,0.21607055365017147,266,0.06516413522782949,353,0.08647721705046546,539,0.13204311611954925,1433,0.35105340519353256,457,0.11195492405683488,151,0.036991670749632534,1.0,4.75,3.0,58.26,20.75,58.0
2018-01-19,4231,-561.83,-0.13278893878515718,0.4876861262112976,972,0.22973292365870954,371,0.08768612621129757,338,0.07988655164263768,453,0.10706688726069487,1524,0.3601985346253841,391,0.09241314110139447,182,0.043015835499881826,1.5,8.01,2.0,63.51,109.87,45.0
2018-01-26,4012,-461.46,-0.11501994017946161,0.4784371884346959,920,0.22931206380857427,362,0.09022931206380858,391,0.09745762711864407,515,0.12836490528414757,1208,0.30109670987038883,470,0.11714855433698904,145,0.03614157527417747,0.5,8.0,3.5,79.39,33.0,66.88
2018-02-02,4615,-767.87,-0.16638569880823403,0.4859804983748646,994,0.2153846153846154,319,0.06912242686890574,327,0.07085590465872156,576,0.12481040086673889,1782,0.38613217768147345,471,0.10205850487540628,144,0.031202600216684723,1.5,6.5,3.25,67.14,120.37,104.63
2018-02-09,6801,-1173.41,-0.1725349213350978,0.48871342449639754,1450,0.21320394059697104,427,0.06278488457579767,552,0.0811645346272607,974,0.14321423320099985,2508,0.36876929863255403,682,0.10027937068078224,208,0.030583737685634466,1.75,8.5,9.75,175.93,67.75,66.38
2018-02-16,3846,-619.7,-0.16112844513780553,0.4837883515340614,836,0.21736869474778991,274,0.07124284971398856,303,0.07878315132605304,448,0.11648465938637545,1456,0.3785751430057202,395,0.10270410816432657,134,0.034841393655746226,3.75,5.75,7.0,67.01,151.0,56.38
2018-02-23,3923,-625.77,-0.15951312770838644,0.47921488656640326,840,0.21412184552638286,296,0.07545245985215396,294,0.074942645934234,568,0.14478715268926842,1410,0.35941881213357124,366,0.09329594697935253,149,0.03798113688503696,1.0,4.0,2.5,58.39,30.76,58.25
2018-03-02,3637,-682.8,-0.18773714599945007,0.48239483090459173,765,0.2103381908166071,211,0.0580148474017047,311,0.08551003574374484,502,0.13802584547704153,1376,0.37833379158647235,341,0.09375859224635688,131,0.036018696728072584,2.0,5.0,2.5,50.13,36.25,71.0
2018-03-09,4168,-865.97,-0.20776631477927063,0.495263915547025,799,0.1916986564299424,247,0.059261036468330135,336,0.08061420345489444,446,0.10700575815738964,1789,0.42922264875239924,417,0.10004798464491363,133,0.03190978886756238,1.0,2.5,7.5,52.75,26.75,55.25
2018-03-16,3542,-648.08,-0.18297007340485602,0.4871541501976285,704,0.19875776397515527,242,0.06832298136645963,282,0.07961603613777526,427,0.12055335968379446,1412,0.3986448334274421,341,0.09627329192546584,134,0.0378317334839074,0.0,9.5,4.5,57.52,70.0,82.38
2018-03-23,3327,-644.44,-0.19370003005710854,0.48430117222723174,666,0.20018034265103696,190,0.05710850616170724,248,0.07454162909528103,486,0.1460775473399459,1281,0.38503155996393146,337,0.10129245566576495,119,0.03576795912233243,0.0,1.0,0.25,44.88,17.0,64.0
2018-03-30,3921,-837.6,-0.21361897475133895,0.49483805151747,726,0.18515684774292274,249,0.06350420811017597,304,0.07753124203009436,541,0.1379750063759245,1665,0.4246365723029839,338,0.08620249936240755,98,0.024993624075490946,1.75,0.5,4.5,56.75,67.25,68.38
2018-04-06,4455,-1037.85,-0.23296296296296296,0.4992053872053872,765,0.1717171717171717,244,0.054769921436588105,337,0.07564534231200898,596,0.13378226711560046,1955,0.4388327721661055,433,0.09719416386083053,125,0.028058361391694726,4.5,3.0,3.5,59.38,73.13,71.38
