week,ticker,net_val,n_fear,n_pairs,n_comments
2017-12-30,AAPL,-19.75,1,108,78
2018-01-06,AAPL,-12.0,1,36,22
2018-01-13,AAPL,-88.0,5,208,121
2018-01-20,AAPL,-5.25,3,32,20
2018-01-27,AAPL,-82.0,3,211,123
2018-02-03,AAPL,-14.5,5,79,57
2018-02-10,AAPL,-6.0,4,55,34
2018-02-17,AAPL,-1.0,0,47,28
2018-02-24,AAPL,-11.0,3,40,28
2018-03-03,AAPL,-6.25,0,16,12
2018-03-10,AAPL,-3.5,2,28,14
2018-03-17,AAPL,-16.0,1,32,16
2018-03-24,AAPL,-8.5,0,20,11
2018-03-31,AAPL,-3.0,1,27,21
2018-04-07,AAPL,-5.88,3,28,22
2018-04-14,AAPL,-20.88,0,65,48
2018-04-21,AAPL,-7.25,3,41,22
2018-04-28,AAPL,-12.75,1,59,45
2018-05-05,AAPL,-7.75,3,29,23
2018-05-12,AAPL,-11.5,4,43,20
2018-05-19,AAPL,-1.0,0,18,13
2018-05-26,AAPL,-2.75,1,22,16
2018-06-02,AAPL,-14.879999999999999,1,65,40
2018-06-09,AAPL,-1.5,2,29,17
2018-06-16,AAPL,0.0,0,18,13
2018-06-23,AAPL,-19.38,0,49,41
2018-06-30,AAPL,-2.0,0,17,13
2018-07-07,AAPL,-4.25,2,13,9
2018-07-14,AAPL,-10.0,0,26,14
2018-07-21,AAPL,-5.0,0,15,13
2018-07-28,AAPL,-31.13,4,171,124
2018-08-04,AAPL,-7.5,5,48,33
2018-08-11,AAPL,-9.75,1,30,24
2018-08-18,AAPL,-4.0,6,66,45
2018-08-25,AAPL,-14.0,1,81,52
2018-09-01,AAPL,-1.25,0,23,16
2018-09-08,AAPL,-19.5,1,48,36
2018-09-15,AAPL,-8.0,11,56,34
2018-09-22,AAPL,-14.0,1,66,39
2018-09-29,AAPL,-11.25,4,50,33
2018-10-06,AAPL,-8.5,2,45,28
2018-10-13,AAPL,-4.25,2,30,20
2018-10-20,AAPL,-6.5,2,43,30
2018-10-27,AAPL,-30.5,5,172,92
2018-11-03,AAPL,-43.26,2,157,110
2018-11-10,AAPL,-32.0,3,118,76
2018-11-17,AAPL,-8.5,1,122,76
2018-11-24,AAPL,-23.0,9,106,69
2018-12-01,AAPL,-27.25,0,138,75
2018-12-08,AAPL,-28.75,3,86,59
2018-12-15,AAPL,-15.25,7,71,49
2018-12-22,AAPL,0.75,4,72,42
2018-12-29,AAPL,-176.89,21,562,336
2019-01-05,AAPL,-50.620000000000005,3,206,143
2019-01-12,AAPL,-17.63,4,101,63
2019-01-19,AAPL,-3.25,13,79,45
2019-01-26,AAPL,-33.5,4,134,100
2019-02-02,AAPL,-10.88,6,50,28
2019-02-09,AAPL,-21.0,3,69,46
2019-02-16,AAPL,-18.5,0,54,39
2019-02-23,AAPL,-10.5,2,42,29
2019-03-02,AAPL,-7.5,0,16,15
2019-03-09,AAPL,-17.25,3,37,28
2019-03-16,AAPL,-13.25,2,47,28
2019-03-23,AAPL,-20.75,2,111,65
2019-03-30,AAPL,-5.5,1,23,15
2019-04-06,AAPL,-20.25,0,49,41
2019-04-13,AAPL,-6.75,1,21,12
2019-04-20,AAPL,-7.0,0,29,18
2019-04-27,AAPL,-7.51,2,57,38
2019-05-04,AAPL,-22.75,1,59,35
2019-05-11,AAPL,-6.0,0,46,31
2019-05-18,AAPL,-22.25,4,63,42
2019-05-25,AAPL,-20.25,4,64,34
2019-06-01,AAPL,-26.75,7,108,63
2019-06-08,AAPL,-12.5,0,30,18
2019-06-15,AAPL,0.5,0,6,5
2019-06-22,AAPL,-12.88,0,50,38
2019-06-29,AAPL,-0.5,0,7,7
2019-07-06,AAPL,-16.25,1,70,45
2019-07-13,AAPL,-4.5,2,8,4
2019-07-20,AAPL,0.1299999999999999,2,25,17
2019-07-27,AAPL,-18.0,2,60,38
2019-08-03,AAPL,-6.25,1,19,12
2019-08-10,AAPL,-8.75,1,50,33
2019-08-17,AAPL,-26.0,0,86,61
2019-08-24,AAPL,-7.25,5,22,13
2019-08-31,AAPL,-7.0,0,22,17
2019-09-07,AAPL,-11.0,0,45,26
2019-09-14,AAPL,-13.25,1,52,36
2019-09-21,AAPL,-4.75,2,16,11
2019-09-28,AAPL,-6.5,0,18,10
2019-10-05,AAPL,-8.5,1,21,10
2019-10-12,AAPL,-7.0,0,18,9
2019-10-19,AAPL,-7.5,3,41,23
2019-10-26,AAPL,-18.0,3,111,71
2019-11-02,AAPL,-5.0,1,39,24
2019-11-09,AAPL,-5.5,1,15,10
2019-11-16,AAPL,-17.75,6,57,30
2019-11-23,AAPL,-9.25,1,28,18
2019-11-30,AAPL,-13.5,5,36,21
2019-12-07,AAPL,-9.0,1,26,22
2019-12-14,AAPL,-1.25,0,21,11
2019-12-21,AAPL,-4.75,4,31,21
2019-12-28,AAPL,-3.75,0,45,34
2020-01-04,AAPL,-8.0,1,77,48
2020-01-11,AAPL,-7.25,7,54,34
2020-01-18,AAPL,-6.75,3,30,19
2020-01-25,AAPL,-29.88,5,129,92
2020-02-01,AAPL,-12.75,5,62,31
2020-02-08,AAPL,-17.75,9,56,30
2020-02-15,AAPL,-44.75,8,155,90
2020-02-22,AAPL,-36.75,7,121,77
2020-02-29,AAPL,-15.5,3,64,37
2020-03-07,AAPL,-10.87,1,53,33
2020-03-14,AAPL,-24.389999999999997,8,104,63
2020-03-21,AAPL,-23.5,2,79,48
2020-03-28,AAPL,-4.13,3,61,41
2020-04-04,AAPL,-29.25,14,85,37
2020-04-11,AAPL,-11.5,0,71,52
2020-04-18,AAPL,-26.75,5,73,44
2020-04-25,AAPL,-13.0,4,63,37
2020-05-02,AAPL,-32.75,4,92,60
2020-05-09,AAPL,-19.75,3,65,36
2020-05-16,AAPL,-24.25,4,63,42
2020-05-23,AAPL,-8.75,7,33,19
2020-05-30,AAPL,-7.5,2,43,30
2020-06-06,AAPL,-10.75,0,55,37
2020-06-13,AAPL,-10.629999999999999,1,44,29
2020-06-20,AAPL,-13.13,2,83,54
2020-06-27,AAPL,-1.75,0,32,23
2020-07-04,AAPL,-17.38,3,60,47
2020-07-11,AAPL,-12.25,4,56,40
2020-07-18,AAPL,-8.0,1,68,45
2020-07-25,AAPL,-10.379999999999999,6,109,76
2020-08-01,AAPL,-13.25,3,121,80
2020-08-08,AAPL,-9.629999999999999,9,111,84
2020-08-15,AAPL,-47.63,10,204,132
2020-08-22,AAPL,-28.259999999999998,6,134,97
2020-08-29,AAPL,-15.12,15,198,131
2020-09-05,AAPL,-10.129999999999999,4,89,61
2020-09-12,AAPL,-13.75,3,121,86
2020-09-19,AAPL,-17.5,2,57,41
2020-09-26,AAPL,-59.010000000000005,4,155,96
2020-10-03,AAPL,-8.5,3,35,21
2020-10-10,AAPL,-11.5,9,65,34
2020-10-17,AAPL,-15.5,5,101,62
2020-10-24,AAPL,-9.379999999999999,2,59,40
2020-10-31,AAPL,-4.75,0,25,18
2020-11-07,AAPL,-22.130000000000003,6,78,52
2020-11-14,AAPL,-5.25,0,26,17
2020-11-21,AAPL,-5.5,3,40,27
2020-11-28,AAPL,-7.5,0,27,19
2020-12-05,AAPL,-7.25,2,56,38
2020-12-12,AAPL,-42.0,5,133,72
2020-12-19,AAPL,-22.25,1,111,73
2020-12-26,AAPL,-6.0,1,66,53
2021-01-02,AAPL,-11.0,3,77,47
2021-01-09,AAPL,-17.0,2,72,47
2021-01-16,AAPL,-7.75,3,81,52
2021-01-23,AAPL,-3.5,2,113,73
2021-01-30,AAPL,9.620000000000001,9,170,104
2021-02-06,AAPL,-23.63,3,159,112
2021-02-13,AAPL,-9.379999999999999,10,67,44
2021-02-20,AAPL,-13.0,6,145,76
2021-02-27,AAPL,-32.38,5,136,80
2021-03-06,AAPL,-21.25,3,134,88
2021-03-13,AAPL,-12.75,11,66,37
2021-03-20,AAPL,-4.0,2,32,22
2021-03-27,AAPL,-4.25,4,38,20
2021-04-03,AAPL,-8.0,3,23,14
2021-04-10,AAPL,-0.5,1,58,35
2021-04-17,AAPL,-8.5,3,47,25
2021-04-24,AAPL,0.2400000000000001,5,147,101
2021-05-01,AAPL,-12.75,2,93,66
2021-05-08,AAPL,-19.63,3,57,33
